code,title,prereq,antireq,term,ID,description
ECE457B,Fundamentals of Computational Intelligence,Level at least 4A Computer Engineering or Electrical Engineering or Mechatronics Engineering or Software Engineering or Systems Design Engineering.,"CS 486, SYDE 558",W,013442,"Introduces novel approaches for computational intelligence based techniques including knowledge-based reasoning, expert systems, fuzzy inferencing and connectionist modeling based on artificial neural networks. The focus is on the use of soft computing approaches to deal effectively with real world complex systems for which their mathematical or physical models are either non-tractable or are difficult to obtain. The main thrust is on designing computationally intelligent systems with human like capabilities in terms of reasoning, learning and adaptation. Tools of computational intelligence could be used in a wide range of engineering applications involving real world problems such as in planning problems, intelligent control, autonomous robotics, speech understanding, pattern analysis, network design, face recognition, communication systems to name a few."
ECE457C,Reinforcement Learning,"One of ECE 203, MTE 201, STAT 206, SYDE 212.",ECE 493 Quantum Information Processing Devices,"S, first offered Spring 2022",016244,"Introduction to reinforcement learning (RL) theory and algorithms for learning decision-making policies in situations with uncertainty and limited information. Topics include Markov decision processes, classic exact/approximate RL algorithms such as value/policy iteration, Q-learning, State-action-reward-state-action (SARSA), Temporal Difference (TD) methods, policy gradients, actor-critic, and Deep RL such as Deep Q-Learning (DQN), Asynchronous Advantage Actor Critic (A3C), and Deep Deterministic Policy Gradient (DDPG)."
ECE458,Computer Security,ECE 252 or SE 350; Level at least 4A Computer Engineering or Electrical Engineering or Software Engineering.,CS 458,S,013443,"Introduction to computer security. Models of security. Elementary cryptography. Software security, vulnerabilities, threats, defenses and secure-software development processes. Threats to networks and defenses. Security issues at the application layer. Secure design principles, techniques and security evaluation. Privacy, ethics and legal issues."
ECE459,Programming for Performance,ECE 252 or SE 350; Level at least 4A Electrical Engineering or Computer Engineering or Software Engineering,,W,013471,"Profiling computer systems; bottlenecks, Amdahl's law. Concurrency: threads and locks. Techniques for programming multicore processors; cache consistency. Transactional memory. Streaming architectures, vectorization, and SIMD. High-performance programming languages."
ECE462,Electrical Distribution Systems,ECE 260 or ECE 361; Level at least 4A Computer Engineering or Electrical Engineering,,S,013445,"This course provides the students an understanding of the operation, analysis and design of electric power distribution systems, starting with estimation of the loads on the network to the detail design of the distribution system networks. The primary objective of the course is to provide students with the skills to understand the analytical and design methods and modern tools for solution of problems associated with electric distribution system engineering."
ECE463,Design & Applications of Power Electronic Converters,"(ECE 260 or 361; Level at least 4A Comp or Elec Eng) or (MTE 120, 220, 320; Level at least 3B Mechtr Eng) or (ECE 240 or GENE 123; Level at least 4A Mech Eng/Mechtr Opt) or (SYDE 292,292L; Level at least 4A Sys Des Eng/Mechtr Opt)",,S,004806,"Principles of power conditioning. Switching characteristics of power semiconductor devices. Computer simulation of power electronic circuits. Analysis, design, and applications of power converters."
ECE464,High Voltage Engineering and Power System Protection,"One of ECE 260, 361, ME 269, MTE 320",,W,004807,"The course provides the fundamentals concepts of generation and measurements of high voltage ac, dc, and impulses. Briefly introduces the students to basic conduction and breakdown mechanisms of insulating materials. The scope of this course also includes understanding the basic protection system, studying the principles for protecting different elements and studying different technologies used in designing protective relays. Exposure to several state-of-art high voltage testing techniques of power system components will ensure that students have knowledge of the industrial solutions to the management of the problems associated with overvoltage and the protection mechanisms used."
ECE467,"Power Systems Analysis, Operations and Markets",ECE 260 or ECE 361; Level at least 4A Computer Engineering or Electrical Engineering,,W,012581,"This course provides a basic understanding of the main issues relevant to the operation, analysis and management of power grids, and gives an introduction to the functioning of electricity markets. The course covers the following main technical and economic issues relevant to system operators, utilities and analysts: power system economic operations; short-term operation of power systems; power flow; introduction to optimal power flows; overview of electricity markets; fault calculations; and basic concepts in power system stability and control."
ECE473,Radio Frequency and Microwave Circuits,ECE 375 and (ECE 206 or MATH 212); Level at least 4A Computer Engineering or Electrical Engineering.,ECE 373,S,004810,"Review of transmission line and scattering matrix representation of radiofrequency (RF) circuits, multiport RF networks, modern RF and microwave planar technology, lumped and distributed microstrip circuits, microwave couplers, Hybrids, resonators, filters, Low-noise amplifiers (LNAs), RF oscillators and mixers, CAD tools for RF circuits, Hybrid and monolithic RF circuits."
ECE474,Radio and Wireless Systems,ECE 375 and (ECE 206 or MATH 212); Level at least 4A Computer Engineering or Electrical Engineering,,W,004811,"Modern transmitter and receiver architectures, Noise and linearity in radio and wireless systems, Design considerations of RF/microwave subsystems, radio and wireless system designs, CAD tools for radio and wireless systems, Antennas, Radio wave propagation models, Indoor radio, Satellite communication, Personal communication systems (PCSs)."
ECE475,Radio-Wave Systems,ECE 375 and (ECE 206 or MATH 212); Level at least 4A Computer Engineering or Electrical Engineering,,S,013188,"Review of Maxwell's equations and uniform plane waves. Electromagnetic wave propagation, reflection and transmission through different uniform media, metallic waveguides, multilayer structures, radiation theory, transmitting and receiving antenna, antenna arrays and applications, simple radio-wave propagation models, radio transmission systems and wireless networks."
ECE477,Photonic Devices and Systems,ECE 375 and (ECE 206 or MATH 212); Level at least 4A Computer Engineering or Electrical Engineering,,W,011045,"Review of Maxwell's equations and electromagnetic plane waves, Dielectric waveguides, Optical fibers, lasers and photonic transmitters, Photodetectors and photonic receivers, optical amplifiers, and photonic systems and networks."
ECE481,Digital Control Systems,"(ECE 380 or MTE 360 or  SYDE 352; Level at least 4A Computer Engineering or Electrical Engineering or Systems Design Engineering) or (ECE 207, SE 380; Level at least 4A Software Engineering).",ECE 484,S,004813,"Performance specifications for design. Dynamic system modelling and basic system identification. Dealing with basic nonlinear effects. Sampled data systems. Discrete-time system stability and dynamic performance. Digital control system design: emulation methods, z-domain, frequency domain, pole placement. Implementation of digital controllers."
ECE484,Digital Control Applications,(MTE 360; Level at least 4A Mechatronics Eng) or (ME 360; Mechanical Eng./Mechatronics Option) or (SYDE 352; Systems Design Eng/Mechtr Option).,ECE 481,F,011332,"Dynamic system modelling: linear, nonlinear, state-space, sample data systems, computer simulation, system identification. Discrete system stability and dynamic performance. Nonlinear system analysis, limit cycles. Digital control system design: emulation methods, z-domain, frequency domain, pole placement.  Implementation of digital controllers. Laboratory projects in computer control of mechatronic and other systems."
ECE486,Robot Dynamics and Control,Prereq:(ECE 380;Level at least 4A Comp or Elect Eng)or(SE 380;Level at least 4A Software Eng)or(MTE 360;Level at least 4A Mechatronics Eng)or(ME 360;Level at least 4A Mech Eng/Mechtr Opt)or(SYDE 352;Level at least 4A Sys Design Eng),.Antireq:ME 547,S,004816,"Homogeneous transformations. Kinematics and inverse kinematics. Denavit-Hartenberg convention. Jacobians and velocity transformations. Dynamics. Path planning, nonlinear control. Compliance and force control."
ECE488,Multivariable Control Systems,Prereq:(ECE 380;Level at least 4A Comp or Elect Eng)or(SE 380;Level at least 4A Software Eng)or(MTE 360;Level at least 4A Mechatronics Eng)or(ME 360;Level at least 4A Mech Eng/Mechtr Opt)or(SYDE 352;Level at least 4A Sys Design Eng),,W,011333,"Review of feedback control design fundamentals; SISO controller parameterizations; the fundamental effect of MIMO interaction; introduction to state-space models in continuous and discrete time; SISO techniques for MIMO design; optimal control; model-predictive control design; state estimation; decoupling, MIMO PID control design; applications in areas such as aerospace systems."
ECE493,Special Topics in Electrical and Computer Engineering,Level at least 4A Computer Engineering or Electrical Engineering or Mechatronics Engineering or Nanotechnology Engineering or Software Engineering,,,010059,"Special courses on advanced topics will be offered from time to time, when resources are available. For current offerings, inquire at the ECE Undergraduate Office or check the ECE website.  "
ECE495,Autonomous Vehicles,Level at least 3B Computer Engineering or Electrical Engineering.,ME 597,W,015999,"Autonomous driving system overview; computer vision basics, deep learning for perception, motion modelling and state estimation, localization and mapping, object tracking, behavioral planning and reinforcement learning, path planning and vehicle control, safety and verification and validation, adoption and impact."
ECE498A,Engineering Design Project,ECE 390; Level at least 4A Computer Engineering or Electrical Engineering.,,"F, W, S",013183,"Team-oriented design-project which comprises a significant design experience based on the knowledge and skills acquired by students in previous courses and on co-operative work terms.  Development of the design specification and plan documents, followed by the initial design work."
ECE498B,Engineering Design Project,ECE 498A; Level at least 4B Computer Engineering or Electrical Engineering.,,"F, W, S",013184,Completion of the design cycle started in ECE 498A and communication of the engineering design work.  Submission of a written final report.  Lecture-style technical presentation by group members.  Poster-style technical presentation with group members available to discuss the project.
ECE499,Engineering Project,Level at least 4A Computer Engineering or Electrical Engineering,,,010040,An engineering project requiring the student to demonstrate initiative and assume responsibility. The student will arrange for a faculty supervisor prior to registration. Students can propose their own topic.  A project report is required at the end of the term. 
SYDE101,Communications in Systems Design Engineering-Written and Oral,1A Systems Design Engineering.,BME 101,F,009341,"This course introduces first-year students to systems design engineering with a focus on the engineering profession, and technical communication skills. Through in-class and independent activities leading to formative and summative assessments, students will consider and reflect on communication intention, audience, content, medium, format, and tone to demonstrate and improve upon their listening, written and oral communication skills for academic, engineering, and professional context."
SYDE101L,Communications in Systems Design Engineering-Visualization,1A Systems Design Engineering.,BME 101L,F,012857,"This laboratory course introduces students to visual communication methods relevant to engineering analysis and design. Through in-class and independent activities leading to formative and summative assessments, students will consider and reflect on communication intention, audience, content, medium, format, and level of detail to demonstrate and improve upon their skills in graphing, freehand sketching, technical drawing, and computer-aided design (CAD)."
SYDE102,Seminar,1B Systems Design Engineering,,S,009342,"Systems design first-year students will meet with a faculty member designated as their class professor. Performance in assignments, conceptual difficulties with courses, interrelation of coursework, later work and engineering practice will be discussed. Non-credit course."
SYDE111,Calculus 1,1A Systems Design Engineering or 1A Biomedical Engineering.,"MATH 116, 117, 127, 137, 147",F,008925,"Differential calculus: limits, continuity, derivatives, differentials, applications. Sequences and series: convergence, power series, Taylor expansions. Simple numerical methods. Introduction to integration, indefinite and definite integral, techniques of integration."
SYDE112,Calculus 2,1B Systems Design Engineering or 1B Biomedical Engineering.,"MATH 118, 119, 128, 138, 148","W, S",008926,"Integration: improper integrals and applications. Multi-variable calculus: partial, total, and directional derivative, gradient divergence, double and triple integrals, Jacobian, solution techniques, applications."
SYDE113,Elementary Engineering Mathematics,1A Systems Design Engineering or 1A Biomedical Engineering,,F,013144,"Functions: trigonometric, exponential, log, inverse functions. Mathematical notation and proof techniques. Metric spaces. Geometry and algebra: root-finding, vectors, coordinate systems, lines and planes, conic sections, complex numbers. Introduction to numerical computation: binary and floating point numbers and arithmetic, accuracy and sources of error."
SYDE114,Matrices and Linear Systems,1B Systems Design Engineering or 1B Biomedical Engineering,,"W, S",008928,"Matrix algebra, inverses, solution of linear systems, determinants, eigenvalues and eigenvectors, lower-upper (LU) factorization. Numerical methods: sensitivity, condition number."
SYDE121,Digital Computation,1A Systems Design Engineering.,"BME 121, CHE 121, CIVE 121, ECE 150, MTE 121/GENE 121",F,008929,"Computer systems, problem solving, data and programs, structured programming, arrays, matrices and pointers, correct and efficient algorithms, data structures."
SYDE161,Introduction to Design,1A Systems Design Engineering.,BME 161,F,008933,"Multidisciplinary system design, the design process, problem definition, life-cycle design, design specification, concept/design generation and evaluation, design for manufacturing and assembly, system modelling and analysis, introduction to mechanical design, prototyping, safety and responsibility in engineering design, design documentation."
SYDE162,Human Factors in Design,1B Systems Design Engineering.,BME 162,S,008932,"Design of human-machine environments, design to reduce human error. Analytical methods of determining user needs in systems with humans. Information processing and human sensory processes and consideration of these elements in the design of systems with humans. Human physical capabilities and consideration of these in ergonomic design."
SYDE181,Physics 1 (Statics),1A Systems Design Engineering.,BME 181,F,008934,"Basic concepts of mechanics, vectors. Statics of particles. Rigid bodies and force systems, equilibrium of rigid bodies. Analysis of trusses and frames. Distributed forces, centroids and moments of inertia. Friction. Virtual work."
SYDE182,Physics 2 (Dynamics),Level at least 1B Systems Design Engineering or 2A Mechatronics Engineering .,BME 182,"F, W, S",008935,"Kinematics of particles, rectilinear and curvilinear motion. Kinetics of particles, application to space mechanics. Energy and momentum methods. Systems of particles. Kinematics and kinetics of rigid bodies; planar motion. Vibrations."
SYDE192,Digital Systems,1B Systems Design Engineering.,BME 292/393,S,008938,"Digital technology, combinatorial logic, binary arithmetic, synchronous sequential circuits, design methodology, algorithmic state machines, microcomputer interfacing."
SYDE192L,Digital Systems Laboratory,1B Systems Design Engineering.,BME 292L/393L,S,012858,Laboratory experiments for students taking SYDE 192.
SYDE201,Seminar,2A Systems Design Engineering,,W,009343,"Systems design second-year students will meet a faculty member designated as their class professor. Performance in assignments, conceptual difficulties with courses, interrelation of coursework, later work and engineering practice will be discussed. Non-credit course."
SYDE202,Seminar,2B Systems Design Engineering,,F,009344,"Systems design second-year students will meet a faculty member designated as their class professor. Performance in assignments, conceptual difficulties with courses, interrelation of coursework, later work and engineering practice will be discussed. Non-credit course."
SYDE211,Calculus 3,2A Systems Designs Engineering or 2A Biomedical Engineering,,"F,W",008939,"Vector differential calculus: divergence and curl, line and surface integrals, fundamental theorems, applications. First order ordinary differential equations: analytical techniques and applications. Second order linear ordinary differential equations: systems of equations and applications. Numerical methods for solving ordinary differential equations (ODEs)."
SYDE212,Probability and Statistics,Level at least 2B Systems Design Engineering.,"BME 213, CIVE 224, ECE 316, NE 115",F,013145,"Elementary probability theory. Random variables and distributions. Binomial, Poisson, and normal distributions. Elementary sampling. Statistical estimation. Tests of hypotheses and significance. Regression. Goodness-of-fit tests. Analysis of experimental measurements."
SYDE223,Data Structures and Algorithms,Level at least 1B Systems Design Engineering or Computer Engineering Option.,"BME 122, CS 240, ECE 250, MTE 140","W,S",008957,"Algorithms and Data Structures emphasizes the following topics: structured software design, data structures, abstract data types, recursive algorithms, algorithm analysis and design, sorting and searching, hashing, problem-solving strategies and NP-completeness."
SYDE252,Linear Systems and Signals,Level at least 2B Systems Design Engineering or 2B Mechanical Engineering or 2B Mechatronics Engineering.,BME 252,"F, S",008945,"Models and analysis of linear systems. Discrete time systems, continuous time systems; difference and differential equations; impulse and frequency response. Complex frequency, functions of complex variables, transform domain techniques: Z transforms; Fourier analysis, Laplace transform. Transfer functions and frequency response, frequency domain analysis of linear systems; sampling theory, stability, and linear filters."
SYDE261,"Design, Systems, and Society",2A Systems Design Engineering,,W,012861,"This course will help students understand how others think about technology, and then use this knowledge to make better choices when designing. This impact course focuses on identifying, understanding, and analyzing the interactions and impacts among technology, society and the environment for current and emerging technologies using theoretical and evidence-based analyses. Connections among systems of systems engineering, impact analyses, evidence-based analyses, needs assessment, the design process, advocacy, and professional engineering will be discussed and applied."
SYDE262,Engineering Economics of Design,2B Systems Design Engineering.,"BME 364, MSCI 261",F,008958,"This course examines a variety of economic factors in Engineering and how they impact design.  Topics include business plans, price and output decisions, choosing among alternative inputs, production processes, evaluating alternative investments, equipment service life and depreciation, new products."
SYDE263,Engineering Prototyping,2A Systems Design Engineering,,,015792,"This course addresses the practical aspects of design and technical communication. By using a series of workshops culminating in a comprehensive final project, students gain the hands-on experience necessary for prototyping and design validation. Topics include generating technical specifications, material selection, fastener basics, motor selection, electronic switching, reading data sheets and schematics, and advanced microcontroller implementation. "
SYDE283,"Physics 3 (Electricity, Magnetism and Optics)",2A Systems Design Engineering.,BME 386,W,008950,"Introduction to the fundamental laws of electricity, magnetism, and optics; electric fields, voltage, resistance, current, properties of conductors and semiconductors, capacitance, properties of dielectrics, magnetic fields, Faraday's Law and inductance, properties of magnetic materials; electromagnetic waves and the nature of light, geometrical optics; reflection and refraction, physical optics; interference and diffraction."
SYDE285,Materials Chemistry,2A Systems Designs Engineering.,BME 282,W,008936,"The course will present how the fundamentals of chemistry are applied to materials science and engineering.  Concepts such as chemical bonding, crystal structure, phase diagram, redox reaction, and electrochemistry will be introduced in the context of materials science.  Properties, processing and structure of metals, semiconductors, polymers, ceramic, nanomaterials and biomaterials will be presented."
SYDE286,Mechanics of Deformable Solids,Level at least 2A Systems Design Engineering.,"BME 281, CIVE 204, ME 219",F,008948,"Introduction to mechanical response of materials and stress-strain relationship. Behaviour of prismatic members in tension, compression, shear, bending and torsion. Shear-force and bending-moment diagrams. Introduction to instability."
SYDE292,"Circuits, Instrumentation, and Measurements",(2B Systems Design Engineering) or Mechatronics Option.,BME 392,F,008952,"Active and passive circuit elements, Kirchhoff's laws, mesh and nodal circuit analysis, principle of superposition; step response of first and second order networks; sinusoidal steady state analysis using complex impedance phasors; input-output relationships, transfer functions and frequency response of linear systems; operational amplifiers, operational amplifier circuits using negative or positive feedback; diodes, operational amplifier circuits using diodes; analog signal detection, conditioning and conversion systems; transducers, difference and instrumentation amplifiers, active filters, A/D and D/A conversion."
SYDE292L,"Circuits, Instrumentation, and Measurements Laboratory",2B Systems Design Engineering.,BME 392L,F,012859,Laboratory experiments for students taking SYDE 292.
SYDE301,Seminar,3A Systems Design Engineering,,S,009345,"Systems design third-year students will meet with a faculty member designated as their class professor. Performance in assignments, conceptual difficulties with courses, interrelation of coursework, later work and engineering practice will be discussed. Non-credit course."
SYDE302,Seminar,3B Systems Design Engineering,,W,009346,"Systems design third-year students will meet with a faculty member designated as their class professor. Performance in assignments, conceptual difficulties with courses, interrelation of coursework, later work and engineering practice will be discussed. Non-credit course."
SYDE311,Advanced Engineering Math 2,3A Systems Design Engineering,,S,008953,"Series solutions of ordinary differential equations; Bessel functions, orthogonal functions, Fourier expansions and integral, Legendre polynomials, Sturm-Liouville systems. Partial differential equations; parabolic, hyperbolic and elliptic equations, numerical methods. Numerical integration; Gaussian quadrature, Runge-Kutta methods. Nonlinear systems; qualitative analysis, phase plane, Newton-Raphson method."
SYDE312,Applied Linear Algebra,3B Systems Design Engineering,,W,008954,"Vector spaces, linear independence, linear maps and matrix representations. Inner product spaces and orthogonality.  Gramm-Schmidt algorithm and orthogonal projection. Interpolation and curve-fitting. Eigenvalues and eigenvectors, diagonalization, singular value decomposition. Applications and numerical methods."
SYDE322,Software Design,BME 122 or CS 240 or ECE 250 or MTE 140 or SYDE 223; Level at least 3A Biomedical Engineering or Level at least 3B Systems Design Engineering,,W,008943,"Software requirements specification; software architecture; design patterns; software testing and quality assurance; software maintenance; design of efficient algorithms and methods for their analysis, mathematical algorithms, string processing algorithms, geometrical algorithms, exhaustive search and traversal techniques, introduction to lower bound theory and NP-completeness.  Case studies and engineering examples."
SYDE334,Applied Statistics,BME 213 or SYDE 212 (with minimum grade of 70%); Level at least 3A Biomedical Engineering or Level at least 3B Systems Design Engineering.,"STAT 331, 371.",W,008961,"Review of basic Normal theory, t, chi-squared, and F distributions. Simple linear regression. Lack of fit. Analysis of variance. Multiple linear regression, variable selection techniques, indicator variables, diagnostics. Brief introduction to non-linear regression, factorial experimentation."
SYDE351,Systems Models 1,3A Systems Design Engineering or (MATH 115 and MTE 202 and level at least 3A Mechatronics Engineering),,"W, S",008964,Introduction to systems modelling and analysis. Graph theoretic models and formulation of system equations. State space formulation and solution. Time and frequency domain solutions. Application to engineering systems.
SYDE352,Introduction to Control Systems,3B Systems Design Engineering.,BME 353,W,008965,"Classical and state space representations of control systems. Stability, controllability, observability and sensitivity. Routh-Hurwitz and root-locus methods. Frequency domain behaviour, Bode plots, Nyquist stability criteria. Pole placement, PID, phase-lead and phase-lag controllers.(labs alt. weeks)"
SYDE352L,Control Systems Laboratory,3B Systems Design Engineering.,BME 353L,W,012860,Laboratory experiments for students taking SYDE 352.
SYDE361,Systems Design Methods 1: Needs Analysis and Prototyping,3A Systems Design Engineering.,BME 361,S,008968,"The methodology of design, situation of concern; needs analysis and problem definition, engineering analysis and generation of alternative solutions, design prototyping, and design documentation. The lecture material is supplemented by a term-long design project done in small groups that develops hands-on experience with electromechanical prototyping."
SYDE362,"Systems Design Methods 2: Testing, Verification, and Validation",3B Systems Design Engineering.,BME 362,W,008969,"Engineering design project course where students work in small groups applying the principles of engineering problem solving and design, with a focus on testing and design evaluation, and an introduction to benchmark testing and applied design optimization. Student projects will provide hands-on experience with design verification, validation, and performance measurement and analysis using engineering tools."
SYDE381,Thermodynamics,3A Systems Design Engineering.,"BME 384, ECE/MTE 309, ME 250",S,008973,"An introductory course in engineering thermodynamics structured for students in Systems Design. Classical thermodynamics is presented as the systematic study of energy; its use, degradation, and waste. Introduction to heat transfer by conduction, convection, and radiation. Applications focus on problems of energy and environment. The concepts of statistical thermodynamics are introduced."
SYDE383,Fluid Mechanics,Level at least 3A Systems Design Engineering.,"BME 384, ME 351",S,008949,"Fundamental concepts in systems involving fluid flow. Basic treatment of statics, kinematics and dynamics of fluids. Conservation of mass, momentum and energy for a control volume. Dimensional analysis and similarity. Flow in pipes and channels. Brief introduction to boundary layers, lift and drag, ideal and compressible flow."
SYDE401,Seminar,4A Systems Design Engineering,,F,009347,"Systems design fourth-year students will meet with a faculty member designated as their class professor. Conceptual difficulties, the interrelation of course work and engineering practice will be discussed. Non-credit course."
SYDE402,Seminar,4B Systems Design Engineering,,W,009348,"Systems design fourth-year students will meet with a faculty member designated as their class professor. Conceptual difficulties, the interrelation of course work and engineering practice will be discussed. Non-credit course."
SYDE411,Optimization and Numerical Methods,4A Systems Design Engineering.,BME 411,F,013146,"Root-finding methods. Linear programming, simplex and interior-point methods. Local and global optimization methods. Constrained optimization. Multiobjective and multidisciplinary design optimization."
SYDE461,Systems Design Capstone Project 1,4A Systems Design Engineering.,BME 461,F,008993,The first half of a two-term engineering design project continuing the systems design project sequence. Students work in small groups applying the principles of systems design engineering to a situation of concern of their own choosing. Students have individual project supervisors as well as an overall co-ordinator who provides the framework for the term assessments.
SYDE462,Systems Design Capstone Project 2,4B Systems Design Engineering.,BME 462,W,008994,The second half of a two-term engineering design project continuing the systems design project sequence. Students work in small groups applying the principles of systems design engineering to a situation of concern of their own choosing. Students have individual project supervisors as well as an overall co-ordinator who provides the framework for the term assessments.
SYDE522,Foundations of Artificial Intelligence,"One of BME 122, CS 240, ECE 250, MSCI 240, MTE 140, SYDE 223 and Biomedical Engineering or SYDE or level at least 4A Management Engineering or Mechatronics Eng or Mechatronics Option or Computer Eng Option.","CS 480, 486, ECE 457A, 457B",W,008981,"The objective of this course is to introduce students to fundamental concepts of Artificial Intelligence. An overview of different learning schemes will be provided, including supervised and unsupervised algorithms. The focus of this course will be on dimensionality reduction, clustering, classification, deep and shallow artificial neural networks, and reinforcement learning. Ethical aspects of artificial intelligence will be discussed."
SYDE531,Design Optimization Under Probabilistic Uncertainty,,,W,013383,"Optimization methods for real world problems have to deal with probabilistic uncertainty either due to data uncertainty or manufacturing uncertainty or both. Maximizing the expected value of the objective function subject to reliability (or risk) constraints is commonly used in such design or decision-making problems. Common methods used are stochastic programming, stochastic dynamic programming, chance-constraints, yield optimization and tolerance design. Example applications are selected from water management, energy systems, financial engineering, and manufacturing."
SYDE532,Introduction to Complex Systems,Level at least 3A Biomedical Engineering or Level at least 3B Systems Design Engineering,,W,013382,"The overwhelming majority of societal and ecological issues of pressing importance are complex systems; nonlinear interacting systems poorly characterized by linear analyses and Gaussian statistics. This course introduces the mathematics needed to understand such interactions, including nonlinear dynamics, critical and bifurcation behaviours, large-scale systems, power-law distributions, and statistical inference. The mathematical methods will be motivated by a set of case studies comprised of pressing large-scale interconnected problems such as global warming, energy shortages, desertification, overpopulation, poverty, and economic instability, to be investigated from a systems engineering perspective that will connect the mathematical analyses to real-world examples."
SYDE533,Conflict Resolution,,,F,009003,"Formal methods for studying engineering decision-making problems involving multiple participants and multiple objectives. Topics include the graph model for conflict resolution, normal game form, metagame analysis, games with misperceptions, preference elicitation, human behaviour under conflict, evolution of a conflict, decision-making under uncertainty, sensitivity analyses, multiple criteria decision analysis, group decision and negotiation, coalition analysis, decision support systems, and real-world applications of the foregoing concepts."
SYDE542,Interface Design,"One of BME 162, MSCI 343, SYDE 162, 348/548, 543; Biomedical Engineering or Systems Design Engineering or (level at least 4A Management Engineering or 4A Mechatronics Engineering) or Ergonomics and Injury Prevention Minor",,W,010067,"This course focuses on the design of computer interfaces for simple to complex systems. Examples of applications are used to illustrate theoretical approaches. Main topics include forms of visual display; auditory display and soft controls; context, navigation, and layout; development techniques; design for engagement."
SYDE543,Cognitive Ergonomics,Biomedical Engineering or Systems Design Engineering or (Level at least 4A Mechatronics Engineering) or Biomechanics Option or Ergonomics and Injury Prevention Minor,,F,009006,"This course focuses on the role engineering psychology research plays in design of the information displays and devices associated with simple and complex cognitive tasks. Main topics include signal detection and target location tasks, navigation tasks, training tasks, communication tasks, human error, stress and mental workload, supervisory control, and situational awareness."
SYDE544,Biomedical Measurement and Signal Processing,"One of BIOL 273, BME 284, SYDE 384/584; Level at least 3A Biomedical Engineering or Level at least 3B Systems Design Engineering or Level at least 3B Honours Life Physics (Biophysics Specialization)",,W,008988,"This course develops an understanding of biomedical measurements through the examination of electromyographic (EMG), electroencephalographic (EEG), and electrocardiographic (ECG) signals. Measurement of human-body position, force, and pressure, and related instrumentation will also be presented. Signal processing techniques will be discussed in the context of extraction and application of useful biomedical signals."
SYDE548,User Centred Design Methods,(Level at least 3A Biomedical Engineering) or (Level at least 3B Systems Design Engineering) or (Level at least 4A Mechatronics Engineering or Biomechanics Option or Ergonomics and Injury Prevention Minor).,"CS 449, MSCI 343",W,010066,"This course approaches the design of tasks, tools, products, and systems from a user-centered design perspective. Emphasis is on the human factors and usability methods, and techniques that can and should be applied throughout the iterative design process. While design issues pertaining to human-computer interaction are discussed, the methods presented can be applied to the design of almost any user interface. Major topics include user research methods for usability and user experience, inspection methods, user testing, applied statistical analysis."
SYDE552,Computational Neuroscience,Level at least 3A Biomedical Engineering or Level at least 3B Systems Design Engineering,,,014290,"Introduction to quantitative principles in the analysis of neurophysiological systems. Biophysics of excitable membranes. Encoding of sensory information in neural spiking activity. Bayesian models in perception and motor control. Models of synaptic plasticity, learning, and memory. [Note for systems design engineering students: It is recommended that one of BIOL 273, 376, 377 or BME 284 or SYDE 384/584 be taken before or concurrently with SYDE 552. Offered: W]"
SYDE553,Advanced Dynamics,(Level at least 3A Biomedical Engineering) or (Level at least 3B Systems Design Engineering) or (Level at least 4A Mechatronics Engineering) or Mechatronics Option or Biomechanics Option,,F,009010,"Newtonian and Eulerian formulation of particle and rigid body kinematics and dynamics.  Energy (Lagrangian and Hamiltonian) formulations of particle and rigid body dynamics; generalized co-ordinates, generalized forces, holonomic constraints, Lagrange multipliers."
SYDE556,Simulating Neurobiological Systems,BME 252 or SYDE 252,,W,012084,"This course develops and applies a general framework for understanding neural computation in the context of recent advances in theoretical and experimental neuroscience. Particular emphasis is placed on understanding representation, nonlinear computation, and dynamics in real neurobiological systems. Students will apply signal processing, control theory, linear algebra, probability theory, and similar quantitative tools for the purpose of modelling sensory, motor, and cognitive systems. Topics covered include single neuron function, neural coding, neural dynamics, attractor networks, learning, statistical inference, locomotion, working memory, etc. Familiarity with neural systems is helpful but not essential."
SYDE572,Introduction to Pattern Recognition,(Level at least 3A Biomedical Engineering) or (Level at least 3B Systems Design Engineering) or (Level at least 4A Mechatronics Engineering) or Mechatronics Option or Biomechanics Option,,W,008972,"Pattern recognition as a process of data analysis. Pattern features as components in a random vector representation. Classification techniques; distance measures in feature space, probabilistic (Bayesian) decision theory, linear discriminants. Clustering and feature extraction. Applications; optical character recognition, speech recognition, industrial robot vision, medical diagnosis, remote sensing and satellite image analysis, fault detection and diagnosis in complex systems such as nuclear reactors."
SYDE575,Image Processing,BME 252 or SYDE 252; (Level at least 3A Biomedical Engineering) or (Level at least 3B Systems Design Engineering) or (Level at least 4A Mechatronics Engineering) or Mechatronics Option or Biomechanics Option,,F,009016,"Beginning with a discussion of quantitative models of imaging systems, this course moves on to apply methods of linear systems theory and signal processing to image processing. Simple spatial domain techniques as well as spatial frequency domain methods, and digital filter design for image enhancement and restoration are discussed. The key methods and problems are surveyed; edge detection, image denoising, image segmentation, image enhancement, image compression, image registration, and feature detection. Applications to machine vision, remote sensing, and medical imaging will be emphasized."
